file,utterance,speaker,context,context_speakers,show,label,instruction,narrowband_spec_path,augmentation
1_60.wav,It's just a privilege to watch your mind at work.,SHELDON,"['I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.'
 ""My apologies. What's your plan?""]",['LEONARD' 'SHELDON'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_60_orig.jpeg,orig
1_60.wav,It's just a privilege to watch your mind at work.,SHELDON,"['I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.'
 ""My apologies. What's your plan?""]",['LEONARD' 'SHELDON'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_60_fast.jpeg,fast
1_60.wav,It's just a privilege to watch your mind at work.,SHELDON,"['I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.'
 ""My apologies. What's your plan?""]",['LEONARD' 'SHELDON'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_60_slow.jpeg,slow
1_60.wav,It's just a privilege to watch your mind at work.,SHELDON,"['I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.'
 ""My apologies. What's your plan?""]",['LEONARD' 'SHELDON'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_60_loud.jpeg,loud
1_60.wav,It's just a privilege to watch your mind at work.,SHELDON,"['I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.'
 ""My apologies. What's your plan?""]",['LEONARD' 'SHELDON'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_60_quiet.jpeg,quiet
1_182.wav,No. The dark crescent-shaped patterns under your arms conceal it nicely.,SHELDON,"['How do I look?' 'Could you be more specific?'
 ""Can you tell I'm perspiring a little?""]",['LEONARD' 'SHELDON' 'LEONARD'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_182_orig.jpeg,orig
1_182.wav,No. The dark crescent-shaped patterns under your arms conceal it nicely.,SHELDON,"['How do I look?' 'Could you be more specific?'
 ""Can you tell I'm perspiring a little?""]",['LEONARD' 'SHELDON' 'LEONARD'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_182_fast.jpeg,fast
1_182.wav,No. The dark crescent-shaped patterns under your arms conceal it nicely.,SHELDON,"['How do I look?' 'Could you be more specific?'
 ""Can you tell I'm perspiring a little?""]",['LEONARD' 'SHELDON' 'LEONARD'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_182_slow.jpeg,slow
1_182.wav,No. The dark crescent-shaped patterns under your arms conceal it nicely.,SHELDON,"['How do I look?' 'Could you be more specific?'
 ""Can you tell I'm perspiring a little?""]",['LEONARD' 'SHELDON' 'LEONARD'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_182_loud.jpeg,loud
1_182.wav,No. The dark crescent-shaped patterns under your arms conceal it nicely.,SHELDON,"['How do I look?' 'Could you be more specific?'
 ""Can you tell I'm perspiring a little?""]",['LEONARD' 'SHELDON' 'LEONARD'],BBT,True,Recognize when sarcasm or irony is employed in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_182_quiet.jpeg,quiet
1_467.wav,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON,"['When I was a little boy and got sick, which was most of the time, my mother would read it to me.'
 ""It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.""
 'For some reason, I related to it quite strongly.' 'I know the reason.'
 'We all know the reason.' 'Sheldon, what are you getting at?']",['SHELDON' 'SHELDON' 'SHELDON' 'PENNY' 'LEONARD' 'LEONARD'],BBT,False,Determine the presence of sarcastic or ironic elements in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_467_orig.jpeg,orig
1_467.wav,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON,"['When I was a little boy and got sick, which was most of the time, my mother would read it to me.'
 ""It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.""
 'For some reason, I related to it quite strongly.' 'I know the reason.'
 'We all know the reason.' 'Sheldon, what are you getting at?']",['SHELDON' 'SHELDON' 'SHELDON' 'PENNY' 'LEONARD' 'LEONARD'],BBT,False,Determine the presence of sarcastic or ironic elements in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_467_fast.jpeg,fast
1_467.wav,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON,"['When I was a little boy and got sick, which was most of the time, my mother would read it to me.'
 ""It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.""
 'For some reason, I related to it quite strongly.' 'I know the reason.'
 'We all know the reason.' 'Sheldon, what are you getting at?']",['SHELDON' 'SHELDON' 'SHELDON' 'PENNY' 'LEONARD' 'LEONARD'],BBT,False,Determine the presence of sarcastic or ironic elements in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_467_slow.jpeg,slow
1_467.wav,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON,"['When I was a little boy and got sick, which was most of the time, my mother would read it to me.'
 ""It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.""
 'For some reason, I related to it quite strongly.' 'I know the reason.'
 'We all know the reason.' 'Sheldon, what are you getting at?']",['SHELDON' 'SHELDON' 'SHELDON' 'PENNY' 'LEONARD' 'LEONARD'],BBT,False,Determine the presence of sarcastic or ironic elements in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_467_loud.jpeg,loud
1_467.wav,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON,"['When I was a little boy and got sick, which was most of the time, my mother would read it to me.'
 ""It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.""
 'For some reason, I related to it quite strongly.' 'I know the reason.'
 'We all know the reason.' 'Sheldon, what are you getting at?']",['SHELDON' 'SHELDON' 'SHELDON' 'PENNY' 'LEONARD' 'LEONARD'],BBT,False,Determine the presence of sarcastic or ironic elements in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_467_quiet.jpeg,quiet
1_1638.wav,The blunt instrument that will be the focus of my murder trial?,LEONARD,"['What, Sheldon? What, Sheldon?! What, Sheldon?!'
 'Tell me what you see here.']",['LEONARD' 'SHELDON'],BBT,True,Identify the presence of sarcastic or ironic remarks in the spoken message. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_1638_orig.jpeg,orig
1_1638.wav,The blunt instrument that will be the focus of my murder trial?,LEONARD,"['What, Sheldon? What, Sheldon?! What, Sheldon?!'
 'Tell me what you see here.']",['LEONARD' 'SHELDON'],BBT,True,Identify the presence of sarcastic or ironic remarks in the spoken message. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_1638_fast.jpeg,fast
1_1638.wav,The blunt instrument that will be the focus of my murder trial?,LEONARD,"['What, Sheldon? What, Sheldon?! What, Sheldon?!'
 'Tell me what you see here.']",['LEONARD' 'SHELDON'],BBT,True,Identify the presence of sarcastic or ironic remarks in the spoken message. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_1638_slow.jpeg,slow
1_1638.wav,The blunt instrument that will be the focus of my murder trial?,LEONARD,"['What, Sheldon? What, Sheldon?! What, Sheldon?!'
 'Tell me what you see here.']",['LEONARD' 'SHELDON'],BBT,True,Identify the presence of sarcastic or ironic remarks in the spoken message. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_1638_loud.jpeg,loud
1_1638.wav,The blunt instrument that will be the focus of my murder trial?,LEONARD,"['What, Sheldon? What, Sheldon?! What, Sheldon?!'
 'Tell me what you see here.']",['LEONARD' 'SHELDON'],BBT,True,Identify the presence of sarcastic or ironic remarks in the spoken message. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_1638_quiet.jpeg,quiet
1_1973.wav,I hope I'm a waitress at the Cheesecake Factory for my whole life.,PENNY,"['Ask me why.' 'Do I have to?'
 ""Of course. That's how you move a conversation forward."" 'Why?'
 'The learning opportunities would be abundant.'
 'Additionally, I like having my belly scratched.']",['SHELDON' 'LEONARD' 'SHELDON' 'LEONARD' 'SHELDON' 'SHELDON'],BBT,True,Identify the presence of sarcastic or ironic expressions in the speech. The answer could be true or false.,out_narrowband_librosa\narrowband_test\1_1973_orig.jpeg,orig
